단일/복합,DUR성분명,DUR유형,제형,금기 또는 주의내용,비고
단일,메토클로프라미드 - 레보도파,병용금기,,,
단일,메토클로프라미드 - 레보도파,병용금기,,,
단일,토파시티닙 - 사이클로스포린,병용금기,,,
단일,토파시티닙 - 아자티오프린,병용금기,,,
단일,토파시티닙 - 타크로리무스,병용금기,,,
단일,필고티닙 - 사이클로스포린,병용금기,,,
단일,필고티닙 - 타크로리무스,병용금기,,,
단일,리라글루티드,임부금기,용액주사제,2등급,
단일,리라글루티드,임부금기,용액주사제,2등급,
단일,리라글루티드,임부금기,용액주사제,1등급,
단일,세마글루티드,임부금기,"용액주사제,나정",2등급,
단일,세마글루티드,임부금기,용액주사제,1등급,
복합,팔로노세트론/네투피탄트,임부금기,"경질캡슐제, 정제",1등급,
복합,포스네투피탄트/팔로노세트론,임부금기,용액주사제,1등급,
단일,리라글루티드,용량주의,용액주사제,리라글루티드 1.8밀리그램,리라글루티드 1.8밀리그램
단일,리라글루티드,용량주의,용액주사제,리라글루티드 3밀리그램,리라글루티드 3밀리그램
단일,메틸페니데이트,용량주의,"장용성캡슐제, 펠렛",메틸페니데이트 80밀리그램,메틸페니데이트 80밀리그램
단일,세마글루티드,용량주의,용액주사제,세마글루티드 주 1회 2.4밀리그램,세마글루티드 주 1회 2.4밀리그램
단일,세마글루티드,용량주의,용액주사제,세마글루티드 주 1회 1밀리그램,세마글루티드 주 1회 1밀리그램
단일,세마글루티드,용량주의,나정,세마글루티드 14밀리그램,세마글루티드 14밀리그램
단일,세마글루티드,효능군중복,,당뇨병용제,
단일,롤라티닙 - 리팜피신,병용금기,,,
단일,롤라티닙 - 세인트존스워트,병용금기,,,
단일,롤라티닙 - 피모지드,병용금기,,,
단일,롤라티닙 - 페니토인,병용금기,,,
단일,롤라티닙 - 알펜타닐,병용금기,,,
단일,롤라티닙 - 카르바마제핀,병용금기,,,
단일,롤라티닙 - 펜타닐,병용금기,,,
단일,롤라티닙 - 미토테인,병용금기,,,
단일,롤라티닙 - 사이클로스포린,병용금기,,,
